Scale,Scale_Rating,Scale_Statement,ScaleR,Scale_RatingR
-3,2,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 2",3,3
3,8,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is an 8",-3,-3
4,2,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 9",-4,3
2,3,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 7",-2,2
4,9,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 9",-4,-4
2,7,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 7",-2,-2
-2,3,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 3",2,2
3,8,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is an 8",-3,-3
4,9,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 9",-4,-4
4,9,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 9",-4,-4
-4,1,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 1",4,4
-2,3,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 3",2,2
0,5,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 5",-0,-0
-1,4,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 4",1,1
-1,7,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 4",1,-2
0,4,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 5",-0,1
-3,2,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 2",3,3
2,7,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 7",-2,-2
0,5,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 5",-0,-0
-4,1,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 1",4,4
4,9,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 9",-4,-4
-3,2,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 2",3,3
-2,3,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 3",2,2
1,6,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 6",-1,-1
2,7,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 7",-2,-2
4,8,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 9",-4,-3
3,8,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is an 8",-3,-3
-1,5,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 4",1,-0
-3,2,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 2",3,3
1,6,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 6",-1,-1
-1,4,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 4",1,1
3,8,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is an 8",-3,-3
-2,2,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 3",2,3
-2,3,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 3",2,2
-4,1,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 1",4,4
-4,9,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 1",4,-4
-3,4,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 2",3,1
1,6,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 6",-1,-1
0,5,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 5",-0,-0
-3,2,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 2",3,3
3,7,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is an 8",-3,-2
-4,1,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 1",4,4
4,9,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 9",-4,-4
2,6,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 7",-2,-1
1,6,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 6",-1,-1
2,7,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 7",-2,-2
-1,3,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 4",1,2
-2,2,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 3",2,3
0,5,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 5",-0,-0
-3,2,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 2",3,3
-3,2,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 2",3,3
1,9,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 6",-1,-4
-4,9,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 1",4,-4
3,6,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is an 8",-3,-1
2,7,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 7",-2,-2
4,8,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 9",-4,-3
0,5,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 5",-0,-0
0,6,"On a 1-9 scale (where 1 = highly uncertain and 9 = highly certain), my certainty level is a 5",-0,-1
